batch,slot,critic_lambda20,control_r0,critic_r0
0,0,0.001650094985961914,0.0010352730751037598,0.0010498762130737305
0,1,0.0007642507553100586,0.0011789202690124512,0.0014290809631347656
2,0,6.079673767089844e-05,0.0003496408462524414,0.0002771615982055664
4,0,0.0002040863037109375,0.00018346309661865234,0.0001938343048095703
6,0,8.815526962280273e-05,0.00016480684280395508,0.0001736283302307129
7,0,0.0003883838653564453,0.00039392709732055664,0.00045615434646606445
9,0,0.0006067752838134766,0.0006387233734130859,0.0006058812141418457
12,0,0.004997968673706055,0.0028557777404785156,0.00495833158493042
14,0,0.0023398995399475098,0.0026020407676696777,0.0035524964332580566
16,0,0.005250215530395508,0.006511330604553223,0.006613552570343018
17,0,0.0020806193351745605,0.0036749839782714844,0.002031981945037842
18,0,0.00031960010528564453,0.00041431188583374023,0.00022900104522705078
20,0,0.0006342530250549316,0.00039076805114746094,0.0005390048027038574
22,0,0.014344215393066406,0.011097252368927002,0.008338332176208496
23,0,0.0020161867141723633,5.5670738220214844e-05,0.0003070235252380371
26,0,0.0003872513771057129,0.00030940771102905273,0.00036847591400146484
28,0,0.0005075931549072266,0.0004975199699401855,0.0005006194114685059
30,0,0.0020720362663269043,0.004625916481018066,0.005134940147399902
35,0,0.00013053417205810547,0.0002931356430053711,0.0001405477523803711
38,0,0.0018349885940551758,0.0015851855278015137,0.0008603930473327637
38,1,0.0010283589363098145,0.0008409023284912109,0.0011919736862182617
42,0,0.0005805492401123047,0.001050114631652832,0.0007659792900085449
43,0,8.863210678100586e-05,0.0001232624053955078,0.0001361370086669922
46,0,0.030362248420715332,0.031337201595306396,0.03206050395965576
47,0,0.014544367790222168,0.015288472175598145,0.013884246349334717
47,1,0.0002040863037109375,0.00014764070510864258,0.00022619962692260742
48,0,0.0003510117530822754,0.0005065202713012695,0.00048422813415527344
49,0,0.00737231969833374,0.004772663116455078,0.0066585540771484375
49,1,0.0029619336128234863,0.0016753077507019043,0.0013974308967590332
56,0,0.0012508630752563477,0.001207113265991211,0.0010474324226379395
56,1,0.0004146099090576172,0.0001837611198425293,0.0001964569091796875
59,0,0.00033468008041381836,0.0003103017807006836,0.00019276142120361328
60,0,0.00021439790725708008,0.0002929568290710449,0.00022614002227783203
63,0,0.00469130277633667,0.004642367362976074,0.00306856632232666
64,0,0.00010991096496582031,0.0007053613662719727,0.0009568929672241211
64,1,0.002686798572540283,0.0026949644088745117,0.0030001401901245117
65,0,0.0006456375122070312,0.00044405460357666016,0.000478208065032959
69,0,0.0006011724472045898,0.0004025697708129883,0.0005905032157897949
70,0,0.00014483928680419922,9.632110595703125e-05,9.697675704956055e-05
72,0,0.0013589859008789062,0.001305997371673584,0.0015375018119812012
80,0,4.6253204345703125e-05,0.0003495216369628906,0.0002853870391845703
81,0,4.887580871582031e-06,1.633167266845703e-05,9.834766387939453e-06
83,0,0.00177079439163208,0.0016376972198486328,0.0018544197082519531
84,0,0.00015747547149658203,0.0001538991928100586,0.00014853477478027344
84,1,0.004601418972015381,0.004900574684143066,0.005536854267120361
86,0,0.00019657611846923828,0.0001099705696105957,0.00013315677642822266
93,0,0.0015274286270141602,0.0004699230194091797,0.0007045865058898926
94,0,0.0034437179565429688,0.0038639307022094727,0.004419445991516113
96,0,0.025042593479156494,0.029744744300842285,0.036274611949920654
96,1,0.03206104040145874,0.03769516944885254,0.036485254764556885
101,0,0.0009645819664001465,0.0007148981094360352,0.0005838871002197266
104,0,0.0007684230804443359,0.0007798671722412109,0.001497507095336914
112,0,0.0004355907440185547,0.0005289912223815918,0.0009648799896240234
113,0,0.0013072490692138672,0.0017063617706298828,0.001432657241821289
113,1,0.0044831037521362305,0.0015361905097961426,0.001859903335571289
114,0,6.73532485961914e-05,0.00025337934494018555,0.00015020370483398438
119,0,6.0439109802246094e-05,0.00013899803161621094,0.0001285076141357422
120,0,0.0001361370086669922,0.00010907649993896484,0.0005334615707397461
122,0,0.001617431640625,0.00202786922454834,0.002789795398712158
123,0,0.00014734268188476562,5.561113357543945e-05,0.00017571449279785156
124,0,0.0054939985275268555,0.004184305667877197,0.004827022552490234
124,1,0.023419857025146484,0.027652978897094727,0.021629691123962402
127,0,0.007857084274291992,0.010508954524993896,0.010661959648132324
127,1,0.002141416072845459,0.0018661022186279297,0.0018988847732543945
130,0,0.001975536346435547,0.002226531505584717,0.0020578503608703613
131,0,0.0029304027557373047,0.0032825469970703125,0.003401458263397217
134,0,0.0034698843955993652,0.003967702388763428,0.004564762115478516
135,0,0.0002467632293701172,0.00028580427169799805,0.0001552104949951172
136,0,0.0001424551010131836,0.00011581182479858398,0.00017851591110229492
136,1,0.00012362003326416016,0.000232696533203125,9.620189666748047e-05
138,0,0.0005822181701660156,0.0006121397018432617,0.0005595684051513672
139,0,0.002614736557006836,0.004216670989990234,0.004626929759979248
139,1,0.0004532933235168457,0.0005638599395751953,0.00042259693145751953
141,0,0.002445816993713379,0.0032110214233398438,0.0023682117462158203
146,0,0.0001659989356994629,0.000461578369140625,0.00026875734329223633
148,0,0.0003050565719604492,0.0005319118499755859,0.0010010600090026855
148,1,9.518861770629883e-05,9.632110595703125e-05,7.683038711547852e-05
149,0,0.008455634117126465,0.007110118865966797,0.004553556442260742
150,0,0.0013407468795776367,0.0014365911483764648,0.001257777214050293
151,0,0.00012433528900146484,0.00012987852096557617,0.0001442432403564453
156,0,0.00024360418319702148,0.0001537799835205078,0.00014781951904296875
158,0,0.0001284480094909668,0.0009809136390686035,5.137920379638672e-05
159,0,0.0002480745315551758,0.00032079219818115234,0.0006353259086608887
160,0,0.0024290084838867188,0.0011072158813476562,0.0007240772247314453
161,0,0.0012296438217163086,0.0025014877319335938,0.0028018951416015625
165,0,0.00018095970153808594,0.00022608041763305664,0.00025910139083862305
167,0,0.0007680058479309082,0.0019915103912353516,0.0029996633529663086
168,0,0.012484848499298096,0.014120280742645264,0.01520693302154541
169,0,0.018365085124969482,0.023935973644256592,0.01675570011138916
170,0,0.0018159151077270508,0.0010083317756652832,0.0008521676063537598
172,0,0.0007232427597045898,0.0011982321739196777,0.001121819019317627
179,0,3.3020973205566406e-05,0.00023543834686279297,0.00016945600509643555
179,1,3.361701965332031e-05,5.078315734863281e-05,0.0001138448715209961
180,0,0.028302669525146484,0.03301858901977539,0.03888404369354248
181,0,0.001284480094909668,0.00021952390670776367,0.00041043758392333984
182,0,0.002775132656097412,0.0010510683059692383,0.0008609890937805176
184,0,2.205371856689453e-06,2.6226043701171875e-06,3.2782554626464844e-06
189,0,0.002383589744567871,0.0024077892303466797,0.0023578405380249023
190,0,6.008148193359375e-05,0.00013977289199829102,8.356571197509766e-05
191,0,0.0013381242752075195,0.0037197470664978027,0.002948164939880371
193,0,0.0004538297653198242,0.00042831897735595703,0.0004093050956726074
194,0,0.006268143653869629,0.008007168769836426,0.005422055721282959
195,0,0.003099501132965088,0.0024770498275756836,0.002445042133331299
195,1,0.002827882766723633,0.0026460886001586914,0.0019483566284179688
199,0,0.0032453536987304688,0.003942608833312988,0.0032285451889038086
206,0,7.903575897216797e-05,9.572505950927734e-05,9.226799011230469e-05
207,0,0.006547212600708008,0.006569504737854004,0.0059500932693481445
208,0,0.00018012523651123047,3.5643577575683594e-05,6.079673767089844e-05
