pocket,ligcode,centroid_offset,same_site,usable,reason,tanimoto,recall
complex_000001,583,1.7058000316123156,True,True,,0.5789473684210527,0.7333333333333333
complex_000026,n,1.9442762155754953,True,True,,0.75,0.8
complex_000026,cvr,2.6266481062623686,True,True,,0.5333333333333333,0.5333333333333333
complex_000069,e6a,34.80952642076553,False,False,not_same_site,,
complex_000085,chc,0.633098870818061,True,True,,0.5416666666666666,0.9285714285714286
complex_000085,jn3,0.26049474104102194,True,True,,0.8125,0.9285714285714286
complex_000117,nla,0.8664618954221217,True,True,,0.2857142857142857,0.6666666666666666
complex_000117,caq,0.4602137910644409,True,True,,0.36363636363636365,0.6666666666666666
complex_000117,ber,5.244266678249563,True,True,,0.16666666666666666,0.3333333333333333
complex_000141,ip2,1.5925059462252984,True,True,,0.5,0.6666666666666666
complex_000149,1bn,1.526081160578921,True,True,,0.3333333333333333,0.3333333333333333
complex_000179,fcr,0.8408557559007218,True,True,,0.5714285714285714,0.7272727272727273
complex_000193,a74,4.92273852245791,True,True,,0.23809523809523808,0.35714285714285715
complex_000193,a37,3.579576672469568,True,True,,0.23529411764705882,0.2857142857142857
complex_000223,3d6,2.06207106242038,True,True,,0.3076923076923077,0.5714285714285714
complex_000223,3c5,2.6424153912141537,True,True,,0.42857142857142855,0.42857142857142855
complex_000236,dxw,1.2153225043170677,True,True,,0.3333333333333333,0.4
complex_000236,w30,1.9831210912492216,True,True,,0.47058823529411764,0.5333333333333333
complex_000236,3xe,2.753130516730957,True,True,,0.3157894736842105,0.4
complex_000266,itu,5.340886549270012,True,True,,0.375,0.42857142857142855
complex_000266,s71,3.7047834914695286,True,True,,0.5,0.8571428571428571
complex_000269,iph,1.8548600961867667,True,True,,0.4117647058823529,0.5
complex_000269,4hp,0.35120325692348847,True,True,,0.9333333333333333,1.0
complex_000292,xxj,1.6663701721787103,True,True,,0.35714285714285715,0.8333333333333334
complex_000292,zzx,1.7406354132128221,True,True,,0.42857142857142855,0.5
complex_000292,x2p,0.8104232919313226,True,True,,0.75,1.0
complex_000292,8g1,1.133985508457814,True,True,,0.7142857142857143,0.8333333333333334
complex_000292,bf3,3.310064781965704,True,True,,0.14285714285714285,0.16666666666666666
complex_000292,zzw,3.9032804893421313,True,True,,0.3,0.5
complex_000292,zyo,1.7383877953840168,True,True,,0.375,0.5
complex_000292,ci4,3.4491375115679044,True,True,,0.25,0.3333333333333333
complex_000292,4rt,1.1068045894527034,True,True,,0.6666666666666666,1.0
complex_000292,cij,3.3549704080606353,True,True,,0.2857142857142857,0.3333333333333333
complex_000292,xz2,2.2671551662756957,True,True,,0.2857142857142857,0.3333333333333333
complex_000292,m76,3.1400656757260386,True,True,,0.08333333333333333,0.16666666666666666
