pocket,null_tanimoto,null_recall,real_tanimoto,real_recall,ceiling_tanimoto,n_pairs,ceiling_recall
complex_000001,0.43924368519337564,0.48666666666666664,0.7489950303000337,0.7884703196347085,0.6875,1.0,0.7333333333333333
complex_000026,0.6100478189045964,0.6916666666666668,0.7168726576952282,0.8353208404315736,0.8012820512820513,2.0,0.8333333333333334
complex_000051,0.4305599264717741,0.5057894736842105,0.6050526821037503,0.6761835264070047,,,
complex_000059,0.5570750115038041,0.6175,0.6536581620598371,0.7386853448275862,,,
complex_000063,0.4021601315351315,0.5657142857142857,0.43026357323187364,0.6492196878751494,,,
complex_000069,0.568690685948039,0.66,0.6664568876690091,0.7902356902356891,,,
complex_000085,0.38012025734917776,0.4493333333333333,0.5737449833772867,0.6993816750983745,0.8125,2.0,0.9666666666666667
complex_000112,0.5795490499352729,0.6927272727272726,0.7798344319314733,0.9312039312039323,,,
complex_000117,0.5081219015146025,0.8825,0.5359637935841147,0.8899410774410774,0.8,3.0,0.875
complex_000140,0.4162930670778497,0.45399999999999996,0.5055888825290257,0.544263698630137,,,
complex_000141,0.5858512182262182,0.8057142857142857,0.6193040284927842,0.9746621621621612,0.6363636363636364,1.0,1.0
complex_000145,0.4527478893655364,0.5677777777777778,0.5326090381762645,0.6649659863945578,,,
complex_000148,0.4131504329004329,0.6066666666666667,0.41054981774678834,0.6307519640852979,,,
complex_000149,0.5817507218443752,0.665,0.8020284164222805,0.8729940878378378,0.5625,1.0,0.5625
complex_000165,0.596189389786415,0.7569230769230769,0.7273430958116146,0.9211179313046881,,,
complex_000170,0.5674527909311191,0.777,0.5900045284667138,0.9001712328767104,,,
complex_000177,0.6888129722444738,0.8445454545454545,0.6991396752363889,0.9465240641711248,,,
complex_000179,0.5099458737427004,0.7666666666666667,0.6868612226297545,0.9370182365106247,0.5454545454545454,1.0,0.6666666666666666
complex_000191,0.5361551427588579,0.564,0.5043438213516039,0.5948632049134578,,,
complex_000193,0.6147787733851975,0.71,0.7135857617475267,0.740254677754678,0.7053571428571428,2.0,0.8076923076923077
complex_000223,0.4984479548229548,0.5633333333333334,0.3323365512186608,0.5576236134611753,0.5476190476190476,2.0,0.6666666666666666
complex_000236,0.3524424755241318,0.42090909090909095,0.49946971835917015,0.6512539184952978,0.6,3.0,0.7272727272727273
complex_000266,0.42680584284996054,0.5015384615384615,0.6800966344875623,0.75621301775148,0.4807692307692308,2.0,0.5384615384615385
complex_000269,0.6532591314717946,0.9090909090909091,0.724383453103461,0.92751842751843,0.8333333333333333,2.0,0.9090909090909092
complex_000292,0.3603412975912976,0.40125,0.5064790779143686,0.6816638370118846,0.75,15.0,0.75
complex_000305,0.4912514603103781,0.6416666666666667,0.619965214009142,0.786785512167516,0.7857142857142857,41.0,0.8333333333333334
complex_000335,0.5840656565656566,0.6133333333333334,0.6057011604711757,0.6475487412455022,,,
complex_000363,0.5551148884330099,0.6642857142857143,0.8237256803560475,0.8895652173913036,0.8928571428571428,2.0,0.8928571428571428
complex_000374,0.3842968234192372,0.42550000000000004,0.6186197071989126,0.6447826086956534,,,
complex_000376,0.6041837019189961,0.754,0.723433845474201,0.9011804384485643,0.625,3.0,1.0
complex_000382,0.48564184357953705,0.5393333333333333,0.6522589436134327,0.7124786324786367,,,
complex_000387,0.5864271971354351,0.6126315789473684,0.7068896312531525,0.7321955142525246,,,
complex_000394,0.5619536323669451,0.6963636363636364,0.6943045888597541,0.8951287620229628,,,
complex_000400,0.4084375962202049,0.4326315789473684,0.5820719199767789,0.6604817127564674,,,
complex_000403,0.650699893372881,0.821,0.7217567087034029,0.9133333333333306,0.5681818181818181,2.0,0.7
complex_000411,0.6803046974525303,0.8145454545454546,0.7383375395072187,0.9004329004329041,,,
complex_000426,0.5030694624003448,0.665,0.6361551351147325,0.8393277310924361,0.4117647058823529,1.0,0.7
complex_000456,0.4899104395776222,0.711,0.6294552095654098,0.8764006791171465,,,
complex_000472,0.4731663415703663,0.7566666666666667,0.42244665401182774,0.7889830508474546,,,
complex_000473,0.42027733530136274,0.4477777777777778,0.6314326394621393,0.6766895761741113,,,
complex_000477,0.46378013545621904,0.5272727272727272,0.6495978210953016,0.7246444032158302,0.6875,5.0,1.0
complex_000506,0.5207096237096237,0.5988888888888888,0.5875739801146154,0.9221096096096151,,,
complex_000535,0.45307710672241563,0.4905555555555556,0.6267929789696605,0.7139704471310682,,,
complex_000540,0.4261136066450712,0.46789473684210525,0.7049403183530046,0.7318853640951698,0.8636363636363636,1.0,1.0
