pocket,a_mean,b_mean,a_top3,b_top3
complex_000001,0.7427451031054492,0.7377529000386553,0.9347222222222222,0.9138888888888889
complex_000026,0.7021451587628059,0.7107827085768262,0.923076923076923,0.9188034188034188
complex_000051,0.6265399697656715,0.5883048054536671,0.8439428611053326,0.8140350877192982
complex_000059,0.6652140331500864,0.6618055020076986,0.8958333333333334,0.9399509803921569
complex_000063,0.4306762962065992,0.4333312244631318,0.7473544973544973,0.7301587301587301
complex_000069,0.674099078005328,0.679335248085248,0.9090909090909091,0.9090909090909091
complex_000085,0.5640588651728634,0.5752516332644779,0.7412280701754387,0.8161764705882352
complex_000112,0.7567560716663367,0.7756684747034012,0.9722222222222222,0.9444444444444443
complex_000117,0.5524738127456487,0.5395525646862545,0.7757575757575758,0.7757575757575758
complex_000140,0.4877347626227052,0.5144751252034981,0.7615283267457181,0.7698412698412698
complex_000141,0.582540703594125,0.6179922959859935,0.875,0.875
complex_000145,0.49856431916756044,0.5204156970813634,0.7954545454545455,0.8393939393939394
complex_000148,0.3925647623351705,0.4156056811669057,0.6805555555555555,0.7103174603174603
complex_000149,0.7872632688299742,0.8004837712027166,0.9803921568627452,0.9607843137254902
complex_000165,0.7178686254952792,0.7276329779170816,1.0,0.9761904761904763
complex_000170,0.5869617889126606,0.5953104010179588,0.7791375291375292,0.7791375291375292
complex_000177,0.6891949066720943,0.6926159118704337,0.9209401709401709,0.9209401709401709
complex_000179,0.6815171756348227,0.6794944720580848,0.8727272727272727,0.9
complex_000191,0.4994410305323618,0.5122694399397185,0.7664473684210527,0.8226579520697168
complex_000193,0.7080066840376119,0.7206572359316448,1.0,0.9761904761904763
complex_000223,0.34021016735207676,0.334299853807657,0.5333333333333333,0.5518518518518518
complex_000236,0.49504660219274194,0.512088579482881,0.7509157509157509,0.7326007326007327
complex_000266,0.6819860687008396,0.675790561606501,0.9249084249084248,0.9317460317460317
complex_000269,0.7157456973005275,0.7207903464341686,0.9444444444444443,0.9722222222222222
complex_000292,0.4907969391719391,0.49121778221778223,0.6843434343434343,0.7592592592592592
complex_000305,0.6162630065521485,0.6065970990285452,0.8106227106227107,0.8015873015873015
complex_000335,0.6022860180754919,0.619642988590357,0.7851851851851852,0.8296296296296296
complex_000363,0.802012990121812,0.8332000154013495,1.0,1.0
complex_000374,0.6125703813608532,0.620300567455979,0.8282828282828283,0.8593073593073592
complex_000376,0.724670985084361,0.7175971159622514,1.0,1.0
complex_000382,0.6365055828425552,0.6577489195124033,0.8941176470588236,0.8746732026143791
complex_000387,0.6901662784047317,0.696083886614172,0.9140350877192982,0.9015873015873016
complex_000394,0.6823965679559979,0.682819086507526,0.914141414141414,0.8931623931623931
complex_000400,0.5856947103475685,0.5828121182663635,0.7427693079866993,0.7384403036576949
complex_000403,0.7087294599088032,0.7075320780967744,1.0,1.0
complex_000411,0.7034784813072252,0.7397064639866494,0.9166666666666666,0.9116161616161617
complex_000426,0.6274669951367949,0.6495521509014535,0.7855477855477856,0.8333333333333334
complex_000456,0.6180848591544069,0.6245251169220242,0.8282828282828283,0.8119658119658121
complex_000472,0.42305851661343863,0.4313940877716388,0.6686507936507936,0.6686507936507936
complex_000473,0.6355078042516318,0.6227131225192167,0.862280701754386,0.8752436647173489
complex_000477,0.6391925085224055,0.6546223869382244,0.8181818181818182,0.8484848484848485
complex_000506,0.5741140228932236,0.5977675800396037,0.7727272727272728,0.7954545454545455
complex_000535,0.6200782031238997,0.6322005321661105,0.8271929824561403,0.8226120857699805
complex_000540,0.6878213476274417,0.7027250412279921,0.9166666666666666,0.9173767752715122
