pocket,a_mean,b_mean,a_top3,b_top3
complex_000001,0.6035087719298246,0.6343859649122807,0.8666666666666667,0.888888888888889
complex_000026,0.529209621993127,0.5367697594501718,0.8222222222222223,0.8222222222222223
complex_000051,0.5481601731601732,0.5254329004329004,0.7777777777777777,0.7936507936507936
complex_000059,0.5409035409035409,0.5567765567765568,0.8518518518518517,0.7777777777777778
complex_000063,0.5963541666666666,0.6184895833333334,0.875,0.875
complex_000069,0.3978494623655915,0.3835125448028675,0.7333333333333334,0.7555555555555555
complex_000085,0.5260416666666667,0.5319940476190476,0.8809523809523809,0.8095238095238094
complex_000112,0.6709219858156027,0.6921985815602835,0.9555555555555556,0.9333333333333332
complex_000117,0.6578947368421053,0.7017543859649121,1.0,1.0
complex_000140,0.4160125588697017,0.4160125588697017,0.7380952380952381,0.7619047619047619
complex_000141,0.7698412698412697,0.7743764172335601,1.0,1.0
complex_000145,0.6505102040816326,0.6836734693877551,1.0,1.0
complex_000148,0.6385964912280703,0.6,1.0,1.0
complex_000149,0.6485260770975056,0.6383219954648526,0.9629629629629629,1.0
complex_000165,0.8134680134680136,0.8208754208754209,1.0,1.0
complex_000170,0.7219662058371734,0.7142857142857143,1.0,1.0
complex_000177,0.5904255319148936,0.6042553191489363,0.9333333333333332,0.8666666666666667
complex_000179,0.6489361702127658,0.6914893617021277,0.9090909090909091,0.9090909090909091
complex_000191,0.355130249867092,0.381711855396066,0.6491228070175438,0.7192982456140351
complex_000193,0.44345238095238093,0.45014880952380953,0.9761904761904763,0.9523809523809524
complex_000223,0.45213549337260683,0.4212076583210603,0.7142857142857143,0.7142857142857143
complex_000236,0.3666666666666667,0.36950354609929087,0.6666666666666666,0.6
complex_000266,0.6396103896103896,0.5990259740259739,0.9047619047619048,0.9047619047619048
complex_000269,0.7040816326530612,0.6639941690962099,0.9523809523809524,0.9523809523809524
complex_000292,0.4548611111111111,0.4635416666666667,0.7222222222222222,0.7222222222222222
complex_000305,0.6236263736263736,0.6190476190476191,0.8333333333333334,0.8611111111111112
complex_000335,0.4440993788819875,0.4386645962732919,0.6666666666666666,0.6666666666666666
complex_000363,0.6145996860282574,0.6342229199372057,0.8571428571428571,0.8571428571428571
complex_000374,0.42091503267973873,0.4326797385620914,0.7592592592592592,0.7777777777777778
complex_000376,0.6380297823596792,0.6254295532646047,1.0,1.0
complex_000382,0.3633241758241758,0.35027472527472525,0.6666666666666666,0.6458333333333334
complex_000387,0.48066595059076256,0.45166487647690656,0.7894736842105262,0.8070175438596491
complex_000394,0.6807065217391305,0.654891304347826,1.0,1.0
complex_000400,0.5013888888888888,0.45694444444444443,0.7111111111111111,0.7333333333333333
complex_000403,0.7020833333333334,0.7104166666666666,1.0,1.0
complex_000411,0.8344086021505376,0.896774193548387,1.0,1.0
complex_000426,0.6592105263157895,0.6421052631578947,1.0,1.0
complex_000456,0.7835648148148149,0.7870370370370371,1.0,1.0
complex_000472,0.8280701754385967,0.729824561403509,1.0,1.0
complex_000473,0.6243961352657005,0.6032608695652174,0.8703703703703703,0.8518518518518517
complex_000477,0.4943262411347519,0.497163120567376,0.7555555555555555,0.7555555555555555
complex_000506,0.590986394557823,0.5697278911564625,0.8611111111111112,0.8333333333333334
complex_000535,0.494140625,0.51171875,0.7916666666666666,0.8125
complex_000540,0.469281045751634,0.44313725490196076,0.823529411764706,0.8039215686274509
