pocket,own_score,cross_score,n_mols,specificity,arm
complex_000001,-7.495818,-7.1733321666666665,20,0.32248583333333336,critic
complex_000026,-7.680652,-7.571249,20,0.10940300000000036,critic
complex_000051,-8.079588,-7.626597333333334,20,0.45299066666666565,critic
complex_000059,-8.788213500000001,-7.262465000000001,20,1.5257485000000006,critic
complex_000063,-6.976659499999999,-7.477390333333333,20,-0.5007308333333338,critic
complex_000069,-8.4884095,-8.217776500000001,20,0.27063299999999835,critic
complex_000085,-8.850215500000001,-8.369251666666667,20,0.4809638333333339,critic
complex_000112,-7.1847175,-7.4114295,20,-0.22671200000000002,critic
complex_000117,-7.0058525000000005,-6.7951115,20,0.2107410000000005,critic
complex_000140,-9.242430500000001,-8.8218975,20,0.4205330000000007,critic
complex_000141,-7.268442500000001,-7.617197166666667,20,-0.3487546666666663,critic
complex_000145,-5.365422499999999,-6.724064833333333,20,-1.358642333333334,critic
complex_000148,-7.182815,-7.793908833333333,20,-0.6110938333333333,critic
complex_000149,-7.956163999999999,-7.322497666666666,20,0.6336663333333332,critic
complex_000165,-6.680479,-7.317516333333333,20,-0.6370373333333328,critic
complex_000170,-9.219356999999999,-8.245793666666666,20,0.9735633333333329,critic
complex_000177,-7.1723805,-7.496079166666666,20,-0.32369866666666613,critic
complex_000179,-8.613904,-7.094986333333334,20,1.518917666666666,critic
complex_000191,-5.5621345,-6.171237666666667,20,-0.6091031666666673,critic
complex_000193,-6.594239,-6.473236833333333,20,0.12100216666666697,critic
complex_000223,-5.3802635,-7.4161573333333335,20,-2.0358938333333336,critic
complex_000236,-8.1707505,-8.307276166666666,20,-0.13652566666666566,critic
complex_000266,-8.2094995,-7.8854865,20,0.3240129999999999,critic
complex_000269,-5.9713715,-7.014438,20,-1.0430665000000001,critic
complex_000292,-5.9545355,-6.216355666666667,20,-0.2618201666666664,critic
complex_000305,-8.053401,-7.379002833333333,20,0.6743981666666663,critic
complex_000335,-5.847036,-6.884051333333334,20,-1.0370153333333336,critic
complex_000363,-9.1346555,-8.814923666666667,20,0.3197318333333321,critic
complex_000374,-7.638843,-7.213880166666667,20,0.42496283333333285,critic
complex_000376,-8.558421,-7.155038333333334,20,1.4033826666666656,critic
complex_000382,-9.253313,-7.507215166666667,20,1.7460978333333337,critic
complex_000387,-8.640494,-7.5458775000000005,20,1.0946164999999999,critic
complex_000394,-8.4547595,-7.846787166666667,20,0.6079723333333327,critic
complex_000400,-9.581942000000002,-8.332115333333332,20,1.249826666666669,critic
complex_000403,-7.534429,-6.719937333333333,20,0.8144916666666671,critic
complex_000411,-7.71643,-6.7254,20,0.9910300000000003,critic
complex_000426,-7.913235,-6.761510666666666,20,1.151724333333334,critic
complex_000456,-7.164005,-7.847445666666667,20,-0.6834406666666668,critic
complex_000472,-8.587747,-7.228025333333333,20,1.3597216666666672,critic
complex_000473,-6.977653999999999,-6.9375905,20,0.040063499999999586,critic
complex_000477,-6.382873,-6.2091970000000005,20,0.1736759999999995,critic
complex_000506,-5.9234285,-6.903483,20,-0.9800544999999996,critic
complex_000535,-7.452378,-6.660507999999999,20,0.7918700000000012,critic
complex_000540,-8.335331499999999,-7.524051666666667,20,0.811279833333332,critic
complex_000001,-8.0301525,-6.8668561666666665,20,1.1632963333333333,control
complex_000026,-7.745927,-7.848249666666666,20,-0.1023226666666659,control
complex_000051,-7.8707385,-8.086103833333333,20,-0.21536533333333274,control
complex_000059,-8.609818,-7.056957333333333,20,1.5528606666666676,control
complex_000063,-7.1834869999999995,-7.0186865,20,0.16480049999999924,control
complex_000069,-8.1437195,-7.358957833333333,20,0.7847616666666664,control
complex_000085,-9.4861065,-7.745193166666667,20,1.7409133333333333,control
complex_000112,-6.750897999999999,-7.714827,20,-0.9639290000000003,control
complex_000117,-7.335617999999999,-7.0760535,20,0.25956449999999887,control
complex_000140,-8.4738085,-7.526860999999999,20,0.9469475000000012,control
complex_000141,-7.182485,-7.3201425,20,-0.13765750000000043,control
complex_000145,-5.217436,-6.261302833333334,20,-1.0438668333333334,control
complex_000148,-6.587493,-6.390312499999999,20,0.19718050000000087,control
complex_000149,-8.0852225,-7.0447545,20,1.0404680000000006,control
complex_000165,-6.539118500000001,-6.7268851666666665,20,-0.18776666666666575,control
complex_000170,-8.346751999999999,-7.183323666666666,20,1.1634283333333322,control
complex_000177,-6.9263405,-5.519605833333333,20,1.406734666666667,control
complex_000179,-8.5535185,-7.842523666666667,20,0.7109948333333325,control
complex_000191,-4.993955,-6.564749833333334,20,-1.5707948333333341,control
complex_000193,-6.548545,-6.751549333333333,20,-0.20300433333333334,control
complex_000223,-4.8534235,-6.253153166666666,20,-1.3997296666666665,control
complex_000236,-8.578115,-7.739040166666666,20,0.839074833333334,control
complex_000266,-7.75107,-7.6214656666666665,20,0.12960433333333388,control
complex_000269,-6.174806,-6.946015333333333,20,-0.7712093333333332,control
complex_000292,-5.899373,-6.340788833333334,20,-0.441415833333334,control
complex_000305,-8.3344585,-8.078826,20,0.2556325000000008,control
complex_000335,-5.530666,-5.981208333333333,20,-0.45054233333333293,control
complex_000363,-9.3681465,-6.872946833333333,20,2.495199666666667,control
complex_000374,-8.755291,-7.844918000000001,20,0.910372999999999,control
complex_000376,-7.554148499999999,-5.7651105000000005,20,1.7890379999999988,control
complex_000382,-9.0542955,-7.748869333333333,20,1.3054261666666669,control
complex_000387,-8.252037,-6.706054,20,1.5459829999999997,control
complex_000394,-7.9741935,-7.979580333333333,20,-0.0053868333333326746,control
complex_000400,-9.9850425,-7.415329,20,2.5697135000000006,control
complex_000403,-7.5521285,-7.710918666666667,20,-0.1587901666666669,control
complex_000411,-7.871369,-6.968730166666666,20,0.9026388333333335,control
complex_000426,-8.126299,-7.538626166666666,20,0.5876728333333334,control
complex_000456,-7.0243135,-6.742473,20,0.2818404999999995,control
complex_000472,-8.0622675,-7.439881333333333,20,0.6223861666666677,control
complex_000473,-6.8478185,-6.574024166666666,20,0.2737943333333339,control
complex_000477,-7.000812000000001,-7.6551013333333335,20,-0.6542893333333328,control
complex_000506,-6.210266,-6.6451218333333335,20,-0.43485583333333366,control
complex_000535,-7.464673500000001,-7.3455691666666665,20,0.11910433333333437,control
complex_000540,-7.5251635,-7.374244666666667,20,0.1509188333333329,control
