pocket,own_score,cross_score,n_mols,specificity,arm
complex_000001,-7.5222620000000004,-7.897572333333333,20,-0.3753103333333323,critic_lambda20
complex_000026,-7.496881500000001,-6.999356166666667,20,0.4975253333333338,critic_lambda20
complex_000051,-7.3965165,-7.4471108333333325,20,-0.05059433333333274,critic_lambda20
complex_000059,-8.189226,-7.830472,20,0.35875399999999935,critic_lambda20
complex_000063,-6.6220894999999995,-6.7827823333333335,20,-0.16069283333333395,critic_lambda20
complex_000069,-7.731574,-6.875585333333333,20,0.8559886666666667,critic_lambda20
complex_000085,-8.7971425,-7.638584833333334,20,1.158557666666666,critic_lambda20
complex_000112,-6.762639500000001,-6.976568333333334,20,-0.21392883333333312,critic_lambda20
complex_000117,-6.602395,-6.329028666666667,20,0.2733663333333327,critic_lambda20
complex_000140,-7.524761499999999,-6.822100000000001,20,0.7026614999999987,critic_lambda20
complex_000141,-7.0180205,-6.8446445,20,0.1733760000000002,critic_lambda20
complex_000145,-5.0732935,-6.403831833333333,20,-1.3305383333333332,critic_lambda20
complex_000148,-6.9998125,-7.790166,20,-0.7903535000000002,critic_lambda20
complex_000149,-8.1147785,-7.476330833333334,20,0.6384476666666661,critic_lambda20
complex_000165,-4.0323364999999995,-7.117192333333334,20,-3.084855833333334,critic_lambda20
complex_000170,-8.18972,-7.315062666666666,20,0.8746573333333334,critic_lambda20
complex_000177,-7.038040499999999,-7.396233833333333,20,-0.35819333333333336,critic_lambda20
complex_000179,-8.3092545,-6.221737833333333,20,2.0875166666666667,critic_lambda20
complex_000191,-5.2708795,-6.4817583333333335,20,-1.2108788333333331,critic_lambda20
complex_000193,-6.2285345,-6.087141,20,0.1413935000000004,critic_lambda20
complex_000223,-5.6192915,-7.3516895,20,-1.7323979999999999,critic_lambda20
complex_000236,-7.8992375,-7.421212333333333,20,0.47802516666666683,critic_lambda20
complex_000266,-7.339842,-6.8469180000000005,20,0.4929239999999995,critic_lambda20
complex_000269,-6.746198,-8.635674333333332,20,-1.8894763333333326,critic_lambda20
complex_000292,-5.9647205,-6.630027833333333,20,-0.6653073333333328,critic_lambda20
complex_000305,-8.107746500000001,-7.248416333333334,20,0.8593301666666671,critic_lambda20
complex_000335,-5.6347695,-6.295828833333333,20,-0.6610593333333332,critic_lambda20
complex_000363,-9.099961,-7.514620166666666,20,1.5853408333333343,critic_lambda20
complex_000374,-7.796303,-6.441207166666667,20,1.3550958333333334,critic_lambda20
complex_000376,-7.889260500000001,-6.579464,20,1.309796500000001,critic_lambda20
complex_000382,-8.915075,-7.409582166666667,20,1.5054928333333333,critic_lambda20
complex_000387,-8.484863,-7.257828,20,1.2270350000000008,critic_lambda20
complex_000394,-7.579245500000001,-7.941709,20,-0.3624634999999996,critic_lambda20
complex_000400,-9.5869505,-8.855252,20,0.7316985000000003,critic_lambda20
complex_000403,-6.7911185000000005,-6.3958061666666675,20,0.39531233333333304,critic_lambda20
complex_000411,-6.8726755,-6.164484666666667,20,0.7081908333333331,critic_lambda20
complex_000426,-7.3568880000000005,-7.001460499999999,20,0.3554275000000011,critic_lambda20
complex_000456,-7.4535295,-7.7441065,20,-0.29057699999999986,critic_lambda20
complex_000472,-8.469723,-6.899264333333333,20,1.5704586666666671,critic_lambda20
complex_000473,-6.118240500000001,-6.9669825,20,-0.8487419999999997,critic_lambda20
complex_000477,-6.4399325,-6.128805833333333,20,0.31112666666666744,critic_lambda20
complex_000506,-6.2462485,-6.451308666666667,20,-0.2050601666666667,critic_lambda20
complex_000535,-7.4690294999999995,-7.537153666666667,20,-0.06812416666666721,critic_lambda20
complex_000540,-7.620851999999999,-7.950001,20,-0.329149000000001,critic_lambda20
complex_000001,-7.809323000000001,-7.886052333333334,20,-0.07672933333333276,control_r0
complex_000026,-7.564126,-7.383528,20,0.18059799999999981,control_r0
complex_000051,-7.561469,-7.626581166666667,20,-0.06511216666666719,control_r0
complex_000059,-8.3001515,-7.7654950000000005,20,0.5346564999999996,control_r0
complex_000063,-6.9629175000000005,-7.291372666666667,20,-0.3284551666666662,control_r0
complex_000069,-7.5896585000000005,-6.714900833333333,20,0.8747576666666674,control_r0
complex_000085,-9.639304,-7.734885333333334,20,1.9044186666666656,control_r0
complex_000112,-7.2749335,-7.436205833333333,20,-0.1612723333333328,control_r0
complex_000117,-7.696446,-7.733717666666666,20,-0.03727166666666637,control_r0
complex_000140,-8.5654205,-7.452944666666666,20,1.1124758333333338,control_r0
complex_000141,-7.190516499999999,-6.963356,20,0.2271604999999992,control_r0
complex_000145,-5.6580655,-7.421025,20,-1.7629595,control_r0
complex_000148,-6.7828085,-7.582521166666667,20,-0.7997126666666672,control_r0
complex_000149,-7.7272245,-7.0773719999999996,20,0.6498525000000006,control_r0
complex_000165,-5.459353500000001,-7.272059666666666,20,-1.8127061666666657,control_r0
complex_000170,-7.649003,-6.8476515,20,0.8013515000000009,control_r0
complex_000177,-7.4554124999999996,-7.574573,20,-0.11916050000000045,control_r0
complex_000179,-8.3774305,-6.90426,20,1.4731704999999993,control_r0
complex_000191,-5.4019935,-6.426745833333333,20,-1.0247523333333337,control_r0
complex_000193,-6.2605745,-6.202563333333333,20,0.058011166666666725,control_r0
complex_000223,-4.7119085,-6.471879166666667,20,-1.7599706666666668,control_r0
complex_000236,-7.936513000000001,-8.0012415,20,-0.06472850000000019,control_r0
complex_000266,-7.568645999999999,-6.999724333333333,20,0.5689216666666663,control_r0
complex_000269,-6.226326500000001,-7.6611515,20,-1.4348249999999991,control_r0
complex_000292,-6.042305499999999,-6.647556833333334,20,-0.6052513333333343,control_r0
complex_000305,-8.425011000000001,-7.691154833333333,20,0.7338561666666683,control_r0
complex_000335,-5.8965905,-6.708507333333333,20,-0.8119168333333331,control_r0
complex_000363,-8.9376655,-7.432293333333333,20,1.5053721666666666,control_r0
complex_000374,-8.240848,-6.720495,20,1.520353,control_r0
complex_000376,-7.8138655,-6.471675,20,1.3421905,control_r0
complex_000382,-9.368643,-7.8012655,20,1.5673775,control_r0
complex_000387,-8.365576,-7.104875333333334,20,1.2607006666666667,control_r0
complex_000394,-7.8875945000000005,-8.409555166666667,20,-0.5219606666666667,control_r0
complex_000400,-9.4712105,-8.692432166666666,20,0.7787783333333334,control_r0
complex_000403,-7.556646000000001,-7.078946333333334,20,0.4776996666666671,control_r0
complex_000411,-7.6376425,-6.8892465,20,0.7483960000000005,control_r0
complex_000426,-7.981908,-7.418048333333333,20,0.5638596666666666,control_r0
complex_000456,-7.419602500000001,-7.454437833333333,20,-0.03483533333333266,control_r0
complex_000472,-8.7346275,-7.282897666666667,20,1.4517298333333333,control_r0
complex_000473,-6.6324035,-7.245496,20,-0.6130925000000005,control_r0
complex_000477,-6.87453,-6.307515666666666,20,0.5670143333333337,control_r0
complex_000506,-6.172186999999999,-6.314709,20,-0.14252200000000048,control_r0
complex_000535,-8.1532145,-8.264455333333334,20,-0.11124083333333346,control_r0
complex_000540,-7.6615345,-7.856346666666667,20,-0.1948121666666669,control_r0
