pocket,critic_lambda20__own,critic_lambda20__cross,critic_lambda20__specificity,control_r0__own,control_r0__cross,control_r0__specificity
complex_000001,-7.5222620000000004,-7.897572333333333,-0.3753103333333323,-7.809323000000001,-7.886052333333334,-0.07672933333333276
complex_000026,-7.496881500000001,-6.999356166666667,0.4975253333333338,-7.564126,-7.383528,0.18059799999999981
complex_000051,-7.3965165,-7.4471108333333325,-0.05059433333333274,-7.561469,-7.626581166666667,-0.06511216666666719
complex_000059,-8.189226,-7.830472,0.35875399999999935,-8.3001515,-7.7654950000000005,0.5346564999999996
complex_000063,-6.6220894999999995,-6.7827823333333335,-0.16069283333333395,-6.9629175000000005,-7.291372666666667,-0.3284551666666662
complex_000069,-7.731574,-6.875585333333333,0.8559886666666667,-7.5896585000000005,-6.714900833333333,0.8747576666666674
complex_000085,-8.7971425,-7.638584833333334,1.158557666666666,-9.639304,-7.734885333333334,1.9044186666666656
complex_000112,-6.762639500000001,-6.976568333333334,-0.21392883333333312,-7.2749335,-7.436205833333333,-0.1612723333333328
complex_000117,-6.602395,-6.329028666666667,0.2733663333333327,-7.696446,-7.733717666666666,-0.03727166666666637
complex_000140,-7.524761499999999,-6.822100000000001,0.7026614999999987,-8.5654205,-7.452944666666666,1.1124758333333338
complex_000141,-7.0180205,-6.8446445,0.1733760000000002,-7.190516499999999,-6.963356,0.2271604999999992
complex_000145,-5.0732935,-6.403831833333333,-1.3305383333333332,-5.6580655,-7.421025,-1.7629595
complex_000148,-6.9998125,-7.790166,-0.7903535000000002,-6.7828085,-7.582521166666667,-0.7997126666666672
complex_000149,-8.1147785,-7.476330833333334,0.6384476666666661,-7.7272245,-7.0773719999999996,0.6498525000000006
complex_000165,-4.0323364999999995,-7.117192333333334,-3.084855833333334,-5.459353500000001,-7.272059666666666,-1.8127061666666657
complex_000170,-8.18972,-7.315062666666666,0.8746573333333334,-7.649003,-6.8476515,0.8013515000000009
complex_000177,-7.038040499999999,-7.396233833333333,-0.35819333333333336,-7.4554124999999996,-7.574573,-0.11916050000000045
complex_000179,-8.3092545,-6.221737833333333,2.0875166666666667,-8.3774305,-6.90426,1.4731704999999993
complex_000191,-5.2708795,-6.4817583333333335,-1.2108788333333331,-5.4019935,-6.426745833333333,-1.0247523333333337
complex_000193,-6.2285345,-6.087141,0.1413935000000004,-6.2605745,-6.202563333333333,0.058011166666666725
complex_000223,-5.6192915,-7.3516895,-1.7323979999999999,-4.7119085,-6.471879166666667,-1.7599706666666668
complex_000236,-7.8992375,-7.421212333333333,0.47802516666666683,-7.936513000000001,-8.0012415,-0.06472850000000019
complex_000266,-7.339842,-6.8469180000000005,0.4929239999999995,-7.568645999999999,-6.999724333333333,0.5689216666666663
complex_000269,-6.746198,-8.635674333333332,-1.8894763333333326,-6.226326500000001,-7.6611515,-1.4348249999999991
complex_000292,-5.9647205,-6.630027833333333,-0.6653073333333328,-6.042305499999999,-6.647556833333334,-0.6052513333333343
complex_000305,-8.107746500000001,-7.248416333333334,0.8593301666666671,-8.425011000000001,-7.691154833333333,0.7338561666666683
complex_000335,-5.6347695,-6.295828833333333,-0.6610593333333332,-5.8965905,-6.708507333333333,-0.8119168333333331
complex_000363,-9.099961,-7.514620166666666,1.5853408333333343,-8.9376655,-7.432293333333333,1.5053721666666666
complex_000374,-7.796303,-6.441207166666667,1.3550958333333334,-8.240848,-6.720495,1.520353
complex_000376,-7.889260500000001,-6.579464,1.309796500000001,-7.8138655,-6.471675,1.3421905
complex_000382,-8.915075,-7.409582166666667,1.5054928333333333,-9.368643,-7.8012655,1.5673775
complex_000387,-8.484863,-7.257828,1.2270350000000008,-8.365576,-7.104875333333334,1.2607006666666667
complex_000394,-7.579245500000001,-7.941709,-0.3624634999999996,-7.8875945000000005,-8.409555166666667,-0.5219606666666667
complex_000400,-9.5869505,-8.855252,0.7316985000000003,-9.4712105,-8.692432166666666,0.7787783333333334
complex_000403,-6.7911185000000005,-6.3958061666666675,0.39531233333333304,-7.556646000000001,-7.078946333333334,0.4776996666666671
complex_000411,-6.8726755,-6.164484666666667,0.7081908333333331,-7.6376425,-6.8892465,0.7483960000000005
complex_000426,-7.3568880000000005,-7.001460499999999,0.3554275000000011,-7.981908,-7.418048333333333,0.5638596666666666
complex_000456,-7.4535295,-7.7441065,-0.29057699999999986,-7.419602500000001,-7.454437833333333,-0.03483533333333266
complex_000472,-8.469723,-6.899264333333333,1.5704586666666671,-8.7346275,-7.282897666666667,1.4517298333333333
complex_000473,-6.118240500000001,-6.9669825,-0.8487419999999997,-6.6324035,-7.245496,-0.6130925000000005
complex_000477,-6.4399325,-6.128805833333333,0.31112666666666744,-6.87453,-6.307515666666666,0.5670143333333337
complex_000506,-6.2462485,-6.451308666666667,-0.2050601666666667,-6.172186999999999,-6.314709,-0.14252200000000048
complex_000535,-7.4690294999999995,-7.537153666666667,-0.06812416666666721,-8.1532145,-8.264455333333334,-0.11124083333333346
complex_000540,-7.620851999999999,-7.950001,-0.329149000000001,-7.6615345,-7.856346666666667,-0.1948121666666669
