arm,pocket,receptor,mol_idx,score
critic_lambda20,complex_000051,complex_000473,0,-6.81261
critic_lambda20,complex_000051,complex_000473,1,-6.32905
critic_lambda20,complex_000051,complex_000473,2,-7.96226
critic_lambda20,complex_000051,complex_000473,3,-5.71223
critic_lambda20,complex_000051,complex_000473,4,-5.63137
critic_lambda20,complex_000051,complex_000473,5,-4.04763
critic_lambda20,complex_000051,complex_000473,6,-5.98774
critic_lambda20,complex_000051,complex_000473,7,-6.24918
critic_lambda20,complex_000051,complex_000473,8,-6.12191
critic_lambda20,complex_000051,complex_000473,9,-5.75762
critic_lambda20,complex_000051,complex_000473,10,-5.85595
critic_lambda20,complex_000051,complex_000473,11,-6.18014
critic_lambda20,complex_000051,complex_000473,12,-7.79698
critic_lambda20,complex_000051,complex_000473,13,-5.96544
critic_lambda20,complex_000051,complex_000473,14,-6.86916
critic_lambda20,complex_000051,complex_000473,15,-6.38036
critic_lambda20,complex_000051,complex_000473,16,-6.15946
critic_lambda20,complex_000051,complex_000473,17,-8.05101
critic_lambda20,complex_000051,complex_000473,18,-7.22387
critic_lambda20,complex_000051,complex_000473,19,-6.57721
critic_lambda20,complex_000001,complex_000266,0,-7.64777
critic_lambda20,complex_000001,complex_000266,1,-8.67737
critic_lambda20,complex_000001,complex_000266,2,-8.22716
critic_lambda20,complex_000001,complex_000266,3,-7.41608
critic_lambda20,complex_000001,complex_000266,4,-8.32496
critic_lambda20,complex_000001,complex_000266,5,-8.89855
critic_lambda20,complex_000001,complex_000266,6,-7.68231
critic_lambda20,complex_000001,complex_000266,7,-7.79943
critic_lambda20,complex_000001,complex_000266,8,-7.98985
critic_lambda20,complex_000001,complex_000266,9,-7.44154
critic_lambda20,complex_000001,complex_000266,10,-9.17362
critic_lambda20,complex_000001,complex_000266,11,-7.40487
critic_lambda20,complex_000001,complex_000266,12,-6.13312
critic_lambda20,complex_000001,complex_000266,13,-7.0249
critic_lambda20,complex_000001,complex_000266,14,-8.13143
critic_lambda20,complex_000001,complex_000266,15,-8.64823
critic_lambda20,complex_000001,complex_000266,16,-8.42777
critic_lambda20,complex_000001,complex_000266,17,-7.88083
critic_lambda20,complex_000001,complex_000266,18,-5.96553
critic_lambda20,complex_000001,complex_000266,19,-7.89171
critic_lambda20,complex_000001,complex_000001,0,-6.55333
critic_lambda20,complex_000001,complex_000001,1,-7.65971
critic_lambda20,complex_000001,complex_000001,2,-7.12757
critic_lambda20,complex_000001,complex_000001,3,-6.71725
critic_lambda20,complex_000001,complex_000001,4,-6.86913
critic_lambda20,complex_000001,complex_000001,5,-8.60423
critic_lambda20,complex_000001,complex_000001,6,-8.54306
critic_lambda20,complex_000001,complex_000001,7,-7.79565
critic_lambda20,complex_000001,complex_000001,8,-8.19425
critic_lambda20,complex_000001,complex_000001,9,-6.89879
critic_lambda20,complex_000001,complex_000001,10,-10.01499
critic_lambda20,complex_000001,complex_000001,11,-7.14446
critic_lambda20,complex_000001,complex_000001,12,-6.07921
critic_lambda20,complex_000001,complex_000001,13,-7.0889
critic_lambda20,complex_000001,complex_000001,14,-7.98821
critic_lambda20,complex_000001,complex_000001,15,-7.44708
critic_lambda20,complex_000001,complex_000001,16,-8.44822
critic_lambda20,complex_000001,complex_000001,17,-7.00073
critic_lambda20,complex_000001,complex_000001,18,-6.00731
critic_lambda20,complex_000001,complex_000001,19,-8.26316
critic_lambda20,complex_000001,complex_000363,0,-7.45211
critic_lambda20,complex_000001,complex_000363,1,-8.09661
critic_lambda20,complex_000001,complex_000363,2,-6.9355
critic_lambda20,complex_000001,complex_000363,3,-8.38857
critic_lambda20,complex_000001,complex_000363,4,-9.05817
critic_lambda20,complex_000001,complex_000363,5,-9.67665
critic_lambda20,complex_000001,complex_000363,6,-8.45772
critic_lambda20,complex_000001,complex_000363,7,-7.07192
critic_lambda20,complex_000001,complex_000363,8,-9.31813
critic_lambda20,complex_000001,complex_000363,9,-7.30757
critic_lambda20,complex_000001,complex_000363,10,-8.65656
critic_lambda20,complex_000001,complex_000363,11,-7.8005
critic_lambda20,complex_000001,complex_000363,12,-6.57279
critic_lambda20,complex_000001,complex_000363,13,-7.57067
critic_lambda20,complex_000001,complex_000363,14,-8.94572
critic_lambda20,complex_000001,complex_000363,15,-8.83452
