pocket,critic__own,critic__cross,critic__specificity,control__own,control__cross,control__specificity
complex_000001,-7.495818,-7.1733321666666665,0.32248583333333336,-8.0301525,-6.8668561666666665,1.1632963333333333
complex_000026,-7.680652,-7.571249,0.10940300000000036,-7.745927,-7.848249666666666,-0.1023226666666659
complex_000051,-8.079588,-7.626597333333334,0.45299066666666565,-7.8707385,-8.086103833333333,-0.21536533333333274
complex_000059,-8.788213500000001,-7.262465000000001,1.5257485000000006,-8.609818,-7.056957333333333,1.5528606666666676
complex_000063,-6.976659499999999,-7.477390333333333,-0.5007308333333338,-7.1834869999999995,-7.0186865,0.16480049999999924
complex_000069,-8.4884095,-8.217776500000001,0.27063299999999835,-8.1437195,-7.358957833333333,0.7847616666666664
complex_000085,-8.850215500000001,-8.369251666666667,0.4809638333333339,-9.4861065,-7.745193166666667,1.7409133333333333
complex_000112,-7.1847175,-7.4114295,-0.22671200000000002,-6.750897999999999,-7.714827,-0.9639290000000003
complex_000117,-7.0058525000000005,-6.7951115,0.2107410000000005,-7.335617999999999,-7.0760535,0.25956449999999887
complex_000140,-9.242430500000001,-8.8218975,0.4205330000000007,-8.4738085,-7.526860999999999,0.9469475000000012
complex_000141,-7.268442500000001,-7.617197166666667,-0.3487546666666663,-7.182485,-7.3201425,-0.13765750000000043
complex_000145,-5.365422499999999,-6.724064833333333,-1.358642333333334,-5.217436,-6.261302833333334,-1.0438668333333334
complex_000148,-7.182815,-7.793908833333333,-0.6110938333333333,-6.587493,-6.390312499999999,0.19718050000000087
complex_000149,-7.956163999999999,-7.322497666666666,0.6336663333333332,-8.0852225,-7.0447545,1.0404680000000006
complex_000165,-6.680479,-7.317516333333333,-0.6370373333333328,-6.539118500000001,-6.7268851666666665,-0.18776666666666575
complex_000170,-9.219356999999999,-8.245793666666666,0.9735633333333329,-8.346751999999999,-7.183323666666666,1.1634283333333322
complex_000177,-7.1723805,-7.496079166666666,-0.32369866666666613,-6.9263405,-5.519605833333333,1.406734666666667
complex_000179,-8.613904,-7.094986333333334,1.518917666666666,-8.5535185,-7.842523666666667,0.7109948333333325
complex_000191,-5.5621345,-6.171237666666667,-0.6091031666666673,-4.993955,-6.564749833333334,-1.5707948333333341
complex_000193,-6.594239,-6.473236833333333,0.12100216666666697,-6.548545,-6.751549333333333,-0.20300433333333334
complex_000223,-5.3802635,-7.4161573333333335,-2.0358938333333336,-4.8534235,-6.253153166666666,-1.3997296666666665
complex_000236,-8.1707505,-8.307276166666666,-0.13652566666666566,-8.578115,-7.739040166666666,0.839074833333334
complex_000266,-8.2094995,-7.8854865,0.3240129999999999,-7.75107,-7.6214656666666665,0.12960433333333388
complex_000269,-5.9713715,-7.014438,-1.0430665000000001,-6.174806,-6.946015333333333,-0.7712093333333332
complex_000292,-5.9545355,-6.216355666666667,-0.2618201666666664,-5.899373,-6.340788833333334,-0.441415833333334
complex_000305,-8.053401,-7.379002833333333,0.6743981666666663,-8.3344585,-8.078826,0.2556325000000008
complex_000335,-5.847036,-6.884051333333334,-1.0370153333333336,-5.530666,-5.981208333333333,-0.45054233333333293
complex_000363,-9.1346555,-8.814923666666667,0.3197318333333321,-9.3681465,-6.872946833333333,2.495199666666667
complex_000374,-7.638843,-7.213880166666667,0.42496283333333285,-8.755291,-7.844918000000001,0.910372999999999
complex_000376,-8.558421,-7.155038333333334,1.4033826666666656,-7.554148499999999,-5.7651105000000005,1.7890379999999988
complex_000382,-9.253313,-7.507215166666667,1.7460978333333337,-9.0542955,-7.748869333333333,1.3054261666666669
complex_000387,-8.640494,-7.5458775000000005,1.0946164999999999,-8.252037,-6.706054,1.5459829999999997
complex_000394,-8.4547595,-7.846787166666667,0.6079723333333327,-7.9741935,-7.979580333333333,-0.0053868333333326746
complex_000400,-9.581942000000002,-8.332115333333332,1.249826666666669,-9.9850425,-7.415329,2.5697135000000006
complex_000403,-7.534429,-6.719937333333333,0.8144916666666671,-7.5521285,-7.710918666666667,-0.1587901666666669
complex_000411,-7.71643,-6.7254,0.9910300000000003,-7.871369,-6.968730166666666,0.9026388333333335
complex_000426,-7.913235,-6.761510666666666,1.151724333333334,-8.126299,-7.538626166666666,0.5876728333333334
complex_000456,-7.164005,-7.847445666666667,-0.6834406666666668,-7.0243135,-6.742473,0.2818404999999995
complex_000472,-8.587747,-7.228025333333333,1.3597216666666672,-8.0622675,-7.439881333333333,0.6223861666666677
complex_000473,-6.977653999999999,-6.9375905,0.040063499999999586,-6.8478185,-6.574024166666666,0.2737943333333339
complex_000477,-6.382873,-6.2091970000000005,0.1736759999999995,-7.000812000000001,-7.6551013333333335,-0.6542893333333328
complex_000506,-5.9234285,-6.903483,-0.9800544999999996,-6.210266,-6.6451218333333335,-0.43485583333333366
complex_000535,-7.452378,-6.660507999999999,0.7918700000000012,-7.464673500000001,-7.3455691666666665,0.11910433333333437
complex_000540,-8.335331499999999,-7.524051666666667,0.811279833333332,-7.5251635,-7.374244666666667,0.1509188333333329
