arm,pocket,receptor,mol_idx,score
critic_r0,complex_000069,complex_000426,0,-10.17619
critic_r0,complex_000069,complex_000426,1,-6.77149
critic_r0,complex_000069,complex_000426,2,-9.15562
critic_r0,complex_000069,complex_000426,3,-7.10388
critic_r0,complex_000069,complex_000426,4,-7.27673
critic_r0,complex_000069,complex_000426,5,-6.06833
critic_r0,complex_000069,complex_000426,6,-8.79596
critic_r0,complex_000069,complex_000426,7,-7.22787
critic_r0,complex_000069,complex_000426,8,-7.9517
critic_r0,complex_000069,complex_000426,9,-7.26561
critic_r0,complex_000069,complex_000426,10,-7.30005
critic_r0,complex_000069,complex_000426,11,-4.56399
critic_r0,complex_000069,complex_000426,12,-8.39286
critic_r0,complex_000069,complex_000426,13,-10.4746
critic_r0,complex_000069,complex_000426,14,-8.97238
critic_r0,complex_000069,complex_000426,15,-7.3044
critic_r0,complex_000069,complex_000426,16,-8.52094
critic_r0,complex_000069,complex_000426,17,-6.0412
critic_r0,complex_000069,complex_000426,18,-7.48866
critic_r0,complex_000069,complex_000426,19,-7.06636
critic_r0,complex_000069,complex_000069,0,-11.6088
critic_r0,complex_000069,complex_000069,1,-7.58508
critic_r0,complex_000069,complex_000069,2,-9.26158
critic_r0,complex_000069,complex_000069,3,-7.63474
critic_r0,complex_000069,complex_000069,4,-7.75012
critic_r0,complex_000069,complex_000069,5,-6.36618
critic_r0,complex_000069,complex_000069,6,-9.86949
critic_r0,complex_000069,complex_000069,7,-7.91627
critic_r0,complex_000069,complex_000069,8,-7.59834
critic_r0,complex_000069,complex_000069,9,-7.72337
critic_r0,complex_000069,complex_000069,10,-9.15077
critic_r0,complex_000069,complex_000069,11,-5.1549
critic_r0,complex_000069,complex_000069,12,-8.1703
critic_r0,complex_000069,complex_000069,13,-10.46209
critic_r0,complex_000069,complex_000069,14,-9.34231
critic_r0,complex_000069,complex_000069,15,-7.70387
critic_r0,complex_000069,complex_000069,16,-10.37296
critic_r0,complex_000069,complex_000069,17,-6.85087
critic_r0,complex_000069,complex_000069,18,-7.61853
critic_r0,complex_000069,complex_000069,19,-7.39578
critic_r0,complex_000069,complex_000292,0,-7.74873
critic_r0,complex_000069,complex_000292,1,-5.77654
critic_r0,complex_000069,complex_000292,2,-7.56034
critic_r0,complex_000069,complex_000292,3,-6.24132
critic_r0,complex_000069,complex_000292,4,-6.52658
critic_r0,complex_000069,complex_000292,5,-5.3613
critic_r0,complex_000069,complex_000292,6,-7.43175
critic_r0,complex_000069,complex_000292,7,-6.98702
critic_r0,complex_000069,complex_000292,8,-5.88654
critic_r0,complex_000069,complex_000292,9,-5.84651
critic_r0,complex_000069,complex_000292,10,-6.17843
critic_r0,complex_000069,complex_000292,11,-4.35497
critic_r0,complex_000069,complex_000292,12,-7.26779
critic_r0,complex_000069,complex_000292,13,-8.1843
critic_r0,complex_000069,complex_000292,14,-7.76133
critic_r0,complex_000069,complex_000292,15,-6.32677
critic_r0,complex_000069,complex_000292,16,-6.70254
critic_r0,complex_000069,complex_000292,17,-5.64538
critic_r0,complex_000069,complex_000292,18,-6.10211
critic_r0,complex_000069,complex_000292,19,-5.93489
critic_r0,complex_000069,complex_000026,0,-9.98994
critic_r0,complex_000069,complex_000026,1,-7.26739
critic_r0,complex_000069,complex_000026,2,-8.69608
critic_r0,complex_000069,complex_000026,3,-7.08661
