pocket,critic_r1__own,critic_r1__cross,critic_r1__specificity,control_r1__own,control_r1__cross,control_r1__specificity
complex_000001,-7.6527895,-7.4740443333333335,0.1787451666666664,-7.406522,-6.4515665,0.9549554999999996
complex_000026,-7.6622855,-7.778018666666667,-0.11573316666666678,-7.4493255000000005,-7.3381915,0.11113400000000073
complex_000063,-7.179968,-7.670727833333333,-0.4907598333333336,-7.2304975,-7.0957159999999995,0.13478150000000078
complex_000069,-7.822185500000001,-7.7134925,0.1086930000000006,-7.2637529999999995,-6.612781333333333,0.6509716666666661
complex_000085,-9.3067915,-8.2699305,1.036861,-9.8638625,-8.061175666666667,1.8026868333333326
complex_000112,-7.2133905,-7.232820333333334,-0.01942983333333359,-7.160970999999999,-7.4614015,-0.30043050000000093
complex_000117,-7.642992,-6.946376166666667,0.6966158333333325,-7.6031949999999995,-7.5130975,0.09009749999999972
complex_000140,-8.928992,-8.469672,0.45931999999999995,-8.9130945,-7.8098845,1.1032099999999998
complex_000141,-7.4740965,-7.749982666666667,-0.275886166666667,-6.9841675,-6.915389666666667,0.06877783333333287
complex_000145,-5.6051965,-7.360234,-1.7550375000000003,-5.257289,-5.821060666666667,-0.5637716666666668
complex_000148,-6.7914330000000005,-7.3197236666666665,-0.528290666666666,-7.000209,-6.804885666666666,0.19532333333333352
complex_000149,-7.761676,-6.935207666666667,0.8264683333333327,-8.040172,-7.2705528333333325,0.7696191666666676
complex_000165,-6.121496,-6.7909630000000005,-0.6694670000000009,-7.1323859999999994,-6.326159666666666,0.806226333333333
complex_000170,-8.0643325,-7.5858835,0.47844900000000123,-9.450127499999999,-7.504946333333334,1.9451811666666652
complex_000177,-7.002061500000001,-7.18958,-0.18751849999999948,-7.518778500000001,-6.023740833333333,1.4950376666666676
complex_000179,-8.829826,-7.113373166666666,1.7164528333333342,-8.3634475,-7.777149,0.5862984999999998
complex_000191,-4.8617655,-5.664017666666667,-0.8022521666666673,-4.7221905,-5.8875,-1.1653095000000002
complex_000193,-6.4303725,-6.291390666666667,0.13898183333333325,-6.153513,-6.203161666666667,-0.04964866666666712
complex_000223,-5.217067,-7.641311833333333,-2.424244833333333,-4.9856485,-6.393151666666667,-1.4075031666666673
complex_000236,-8.7127645,-8.00863275,0.7041317500000002,-8.385795,-7.4919009999999995,0.8938940000000004
complex_000266,-7.742801,-7.1975887499999995,0.5452122500000005,-6.9815055,-6.881023833333333,0.10048166666666702
complex_000269,-6.3374195,-7.468228833333333,-1.1308093333333327,-6.3645745,-6.9866755000000005,-0.6221010000000007
complex_000292,-5.637979,-5.943576500000001,-0.3055975000000011,-6.043874000000001,-6.499213,-0.4553389999999995
complex_000305,-8.56117,-7.690043833333333,0.8711261666666674,-7.8077195,-7.6575948333333335,0.15012466666666668
complex_000335,-5.4036015,-6.442075666666667,-1.038474166666667,-5.8151765,-6.387049,-0.5718725000000004
complex_000363,-9.1691585,-8.906217166666666,0.2629413333333339,-9.499791,-7.071662833333334,2.4281281666666663
complex_000374,-8.4596835,-7.7021663333333334,0.7575171666666671,-9.226732,-8.061023333333333,1.1657086666666672
complex_000376,-8.216539000000001,-6.834047833333333,1.382491166666668,-7.996720000000001,-5.9027025,2.0940175000000005
complex_000382,-9.6184845,-7.5875675000000005,2.0309169999999988,-8.626456999999998,-7.680537833333333,0.9459191666666653
complex_000387,-9.181216000000001,-8.116653333333334,1.0645626666666672,-8.769026,-6.889199333333334,1.8798266666666663
complex_000394,-8.058782,-7.4225069999999995,0.6362750000000013,-7.656406,-7.487390666666667,0.1690153333333324
complex_000400,-9.176527,-8.205589999999999,0.970937000000001,-9.3280035,-7.495601166666666,1.8324023333333335
complex_000403,-7.141195000000001,-6.369958833333333,0.771236166666668,-7.669093999999999,-7.768362833333333,-0.09926883333333336
complex_000411,-7.5787284999999995,-6.642822166666666,0.9359063333333335,-7.494588500000001,-6.928995666666666,0.5655928333333344
complex_000426,-7.669403,-6.596672,1.072731,-7.324358999999999,-7.333265666666667,-0.008906666666667284
complex_000456,-7.6652635,-7.9421870000000006,-0.27692350000000054,-6.838699,-6.657706833333333,0.18099216666666695
complex_000472,-7.9982035,-6.850511999999999,1.1476915000000005,-8.8354405,-7.760736166666667,1.074704333333334
complex_000473,-6.3060795,-6.922487333333334,-0.6164078333333336,-6.421828499999999,-6.372456,0.0493724999999996
complex_000477,-6.9445645,-6.450487,0.4940775000000004,-6.5845545,-7.0806458333333335,-0.4960913333333332
complex_000506,-6.3319095,-6.900600666666667,-0.5686911666666665,-6.416242,-6.943480833333334,-0.5272388333333344
complex_000535,-7.667663,-6.613219666666667,1.0544433333333334,-7.3187584999999995,-7.275564833333333,0.04319366666666635
complex_000540,-8.127406500000001,-7.3667801666666675,0.7606263333333336,-8.3698,-8.056380666666666,0.31341933333333394
