arm,pocket,receptor,mol_idx,score
critic_r1,complex_000001,complex_000456,0,-6.8769
critic_r1,complex_000001,complex_000456,1,-7.66905
critic_r1,complex_000001,complex_000456,2,-8.14406
critic_r1,complex_000001,complex_000456,3,-6.83037
critic_r1,complex_000001,complex_000456,4,-7.1747
critic_r1,complex_000001,complex_000456,5,-8.47326
critic_r1,complex_000001,complex_000456,6,-6.9387
critic_r1,complex_000001,complex_000456,7,-6.04189
critic_r1,complex_000001,complex_000456,8,-7.87883
critic_r1,complex_000001,complex_000456,9,-7.16831
critic_r1,complex_000001,complex_000456,10,-4.94085
critic_r1,complex_000001,complex_000456,11,-7.90618
critic_r1,complex_000001,complex_000456,12,-5.52411
critic_r1,complex_000001,complex_000456,13,-7.09343
critic_r1,complex_000001,complex_000456,14,-6.56348
critic_r1,complex_000001,complex_000456,15,-6.76092
critic_r1,complex_000001,complex_000456,16,-7.2905
critic_r1,complex_000001,complex_000456,17,-9.42273
critic_r1,complex_000001,complex_000456,18,-7.72245
critic_r1,complex_000001,complex_000456,19,-4.36199
critic_r1,complex_000001,complex_000363,0,-8.43772
critic_r1,complex_000001,complex_000363,1,-10.24745
critic_r1,complex_000001,complex_000363,2,-9.40261
critic_r1,complex_000001,complex_000363,3,-9.08885
critic_r1,complex_000001,complex_000363,4,-8.1959
critic_r1,complex_000001,complex_000363,5,-11.55665
critic_r1,complex_000001,complex_000363,6,-8.23698
critic_r1,complex_000001,complex_000363,7,-6.91089
critic_r1,complex_000001,complex_000363,8,-8.99235
critic_r1,complex_000001,complex_000363,9,-8.41745
critic_r1,complex_000001,complex_000363,10,-5.60183
critic_r1,complex_000001,complex_000363,11,-9.49547
critic_r1,complex_000001,complex_000363,12,-5.91474
critic_r1,complex_000001,complex_000363,13,-8.62605
critic_r1,complex_000001,complex_000363,14,-7.44377
critic_r1,complex_000001,complex_000363,15,-8.04533
critic_r1,complex_000001,complex_000363,16,-7.1682
critic_r1,complex_000001,complex_000363,17,-10.88296
critic_r1,complex_000001,complex_000363,18,-8.22719
critic_r1,complex_000001,complex_000363,19,-5.21831
critic_r1,complex_000059,complex_000059,0,-8.36112
critic_r1,complex_000059,complex_000059,1,-9.67221
critic_r1,complex_000059,complex_000059,2,-8.30279
critic_r1,complex_000059,complex_000059,3,-10.25609
critic_r1,complex_000059,complex_000059,4,-7.76469
critic_r1,complex_000059,complex_000059,5,-10.89508
critic_r1,complex_000059,complex_000059,6,-8.50104
critic_r1,complex_000059,complex_000059,7,-10.12095
critic_r1,complex_000059,complex_000059,8,-8.04846
critic_r1,complex_000059,complex_000059,9,-6.37487
critic_r1,complex_000059,complex_000059,10,-8.07229
critic_r1,complex_000059,complex_000059,11,-9.96398
critic_r1,complex_000059,complex_000059,12,-9.41282
critic_r1,complex_000059,complex_000059,13,-10.96996
critic_r1,complex_000059,complex_000059,14,-9.99129
critic_r1,complex_000059,complex_000059,15,-8.29508
critic_r1,complex_000059,complex_000059,16,-9.39926
critic_r1,complex_000059,complex_000059,17,-9.06676
critic_r1,complex_000059,complex_000059,18,-10.90573
critic_r1,complex_000059,complex_000059,19,-8.18656
critic_r1,complex_000001,complex_000001,0,-7.68781
critic_r1,complex_000001,complex_000001,1,-8.59895
critic_r1,complex_000001,complex_000001,2,-8.53056
critic_r1,complex_000001,complex_000001,3,-7.4452
critic_r1,complex_000001,complex_000001,4,-7.57382
critic_r1,complex_000001,complex_000001,5,-9.39672
critic_r1,complex_000001,complex_000001,6,-7.83492
critic_r1,complex_000001,complex_000001,7,-7.03879
critic_r1,complex_000001,complex_000001,8,-9.03904
critic_r1,complex_000001,complex_000001,9,-7.20348
critic_r1,complex_000001,complex_000001,10,-4.72692
critic_r1,complex_000001,complex_000001,11,-9.67273
critic_r1,complex_000001,complex_000001,12,-5.93383
critic_r1,complex_000001,complex_000001,13,-8.15254
critic_r1,complex_000001,complex_000001,14,-7.16134
critic_r1,complex_000001,complex_000001,15,-6.87734
critic_r1,complex_000001,complex_000001,16,-8.02254
critic_r1,complex_000001,complex_000001,17,-9.78183
critic_r1,complex_000001,complex_000001,18,-7.5547
critic_r1,complex_000001,complex_000001,19,-4.82273
critic_r1,complex_000051,complex_000266,0,-9.26128
critic_r1,complex_000051,complex_000266,1,-9.9277
critic_r1,complex_000051,complex_000266,2,-8.9906
critic_r1,complex_000051,complex_000266,3,-7.64617
critic_r1,complex_000051,complex_000266,4,-8.21549
critic_r1,complex_000051,complex_000266,5,-9.55186
critic_r1,complex_000051,complex_000266,6,-10.80991
critic_r1,complex_000051,complex_000266,7,-10.15436
critic_r1,complex_000051,complex_000266,8,-10.1428
critic_r1,complex_000051,complex_000266,9,-10.76621
critic_r1,complex_000051,complex_000266,10,-8.47017
critic_r1,complex_000051,complex_000266,11,-6.05547
critic_r1,complex_000051,complex_000266,12,-8.28401
critic_r1,complex_000051,complex_000266,13,-10.63795
critic_r1,complex_000051,complex_000266,14,-5.26074
critic_r1,complex_000051,complex_000266,15,-7.33191
critic_r1,complex_000051,complex_000266,16,-8.06123
critic_r1,complex_000051,complex_000266,17,-6.47806
critic_r1,complex_000051,complex_000266,18,-7.39642
critic_r1,complex_000051,complex_000266,19,-7.89251
critic_r1,complex_000059,complex_000456,0,-6.77683
critic_r1,complex_000059,complex_000456,1,-7.201
critic_r1,complex_000059,complex_000456,2,-8.07528
critic_r1,complex_000059,complex_000456,3,-8.23806
critic_r1,complex_000059,complex_000456,4,-6.45533
critic_r1,complex_000059,complex_000456,5,-9.00903
critic_r1,complex_000059,complex_000456,6,-7.6362
critic_r1,complex_000059,complex_000456,7,-8.94751
critic_r1,complex_000059,complex_000456,8,-7.03151
critic_r1,complex_000059,complex_000456,9,-5.46991
critic_r1,complex_000059,complex_000456,10,-7.1028
critic_r1,complex_000059,complex_000456,11,-9.24238
critic_r1,complex_000059,complex_000456,12,-8.94347
critic_r1,complex_000059,complex_000456,13,-8.20985
critic_r1,complex_000059,complex_000456,14,-8.90696
critic_r1,complex_000059,complex_000456,15,-7.28558
critic_r1,complex_000059,complex_000456,16,-8.7487
critic_r1,complex_000059,complex_000456,17,-7.61454
critic_r1,complex_000059,complex_000456,18,-9.20861
critic_r1,complex_000059,complex_000456,19,-7.00665
critic_r1,complex_000001,complex_000170,0,-8.62621
critic_r1,complex_000001,complex_000170,1,-12.10474
critic_r1,complex_000001,complex_000170,2,-6.49907
critic_r1,complex_000001,complex_000170,3,-8.86013
critic_r1,complex_000001,complex_000170,4,0.41734
critic_r1,complex_000001,complex_000170,5,-3.6953
critic_r1,complex_000001,complex_000170,6,-9.30284
critic_r1,complex_000001,complex_000170,7,-7.91898
critic_r1,complex_000001,complex_000170,8,-6.81662
critic_r1,complex_000001,complex_000170,9,-9.28604
critic_r1,complex_000001,complex_000170,10,-5.09034
