arm,pocket,receptor,mol_idx,score
critic,complex_000026,complex_000363,0,-7.23592
critic,complex_000026,complex_000363,1,-6.72717
critic,complex_000026,complex_000363,2,-9.32368
critic,complex_000026,complex_000363,3,-7.5208
critic,complex_000026,complex_000363,4,-4.6373
critic,complex_000026,complex_000363,5,-7.99713
critic,complex_000026,complex_000363,6,-9.23592
critic,complex_000026,complex_000363,7,-7.87096
critic,complex_000026,complex_000363,8,-9.01926
critic,complex_000026,complex_000363,9,-7.01118
critic,complex_000026,complex_000363,10,-9.13162
critic,complex_000026,complex_000363,11,-5.6438
critic,complex_000026,complex_000363,12,-9.20949
critic,complex_000026,complex_000363,13,-8.30378
critic,complex_000026,complex_000363,14,-9.63681
critic,complex_000026,complex_000363,15,-8.88778
critic,complex_000026,complex_000363,16,-5.81359
critic,complex_000026,complex_000363,17,-5.28282
critic,complex_000026,complex_000363,18,-6.41268
critic,complex_000026,complex_000363,19,-8.43584
critic,complex_000026,complex_000140,0,-6.62644
critic,complex_000026,complex_000140,1,-7.12522
critic,complex_000026,complex_000140,2,-8.04154
critic,complex_000026,complex_000140,3,-9.63978
critic,complex_000026,complex_000140,4,-9.73481
critic,complex_000026,complex_000140,5,-7.69954
critic,complex_000026,complex_000140,6,-10.007
critic,complex_000026,complex_000140,7,-8.06626
critic,complex_000026,complex_000140,8,-8.32885
critic,complex_000026,complex_000140,9,-7.31131
critic,complex_000026,complex_000140,10,-8.91231
critic,complex_000026,complex_000140,11,-5.38076
critic,complex_000026,complex_000140,12,-8.37674
critic,complex_000026,complex_000140,13,-6.77451
critic,complex_000026,complex_000140,14,-8.62654
critic,complex_000026,complex_000140,15,-7.91464
critic,complex_000026,complex_000140,16,-5.77481
critic,complex_000026,complex_000140,17,-5.17257
critic,complex_000026,complex_000140,18,-5.74705
critic,complex_000026,complex_000140,19,-7.37397
critic,complex_000001,complex_000001,0,-7.9265
critic,complex_000001,complex_000001,1,-5.64275
critic,complex_000001,complex_000001,2,-7.70815
critic,complex_000001,complex_000001,3,-6.62584
critic,complex_000001,complex_000001,4,-6.4795
critic,complex_000001,complex_000001,5,-8.07934
critic,complex_000001,complex_000001,6,-4.46095
critic,complex_000001,complex_000001,7,-7.9834
critic,complex_000001,complex_000001,8,-9.66312
critic,complex_000001,complex_000001,9,-7.34549
critic,complex_000001,complex_000001,10,-5.84517
critic,complex_000001,complex_000001,11,-8.44232
critic,complex_000001,complex_000001,12,-8.00356
critic,complex_000001,complex_000001,13,-8.81725
critic,complex_000001,complex_000001,14,-7.3674
critic,complex_000001,complex_000001,15,-4.75983
critic,complex_000001,complex_000001,16,-7.49371
critic,complex_000001,complex_000001,17,-9.86623
critic,complex_000001,complex_000001,18,-8.38454
critic,complex_000001,complex_000001,19,-9.02131
critic,complex_000026,complex_000026,0,-7.1105
critic,complex_000026,complex_000026,1,-7.71389
critic,complex_000026,complex_000026,2,-8.16291
critic,complex_000026,complex_000026,3,-8.4824
critic,complex_000026,complex_000026,4,-10.46625
critic,complex_000026,complex_000026,5,-8.07467
critic,complex_000026,complex_000026,6,-8.63138
critic,complex_000026,complex_000026,7,-7.41799
critic,complex_000026,complex_000026,8,-8.27591
critic,complex_000026,complex_000026,9,-7.99442
critic,complex_000026,complex_000026,10,-8.19222
critic,complex_000026,complex_000026,11,-5.58379
critic,complex_000026,complex_000026,12,-9.39346
critic,complex_000026,complex_000026,13,-6.93837
critic,complex_000026,complex_000026,14,-9.0176
critic,complex_000026,complex_000026,15,-7.84528
critic,complex_000026,complex_000026,16,-5.70027
critic,complex_000026,complex_000026,17,-5.33051
critic,complex_000026,complex_000026,18,-5.7214
critic,complex_000026,complex_000026,19,-7.55982
critic,complex_000051,complex_000193,0,-8.24382
critic,complex_000051,complex_000193,1,-7.8477
critic,complex_000051,complex_000193,2,-6.95897
critic,complex_000051,complex_000193,3,-7.149
critic,complex_000051,complex_000193,4,-6.69557
critic,complex_000051,complex_000193,5,-5.69798
critic,complex_000051,complex_000193,6,-8.59852
critic,complex_000051,complex_000193,7,-6.83674
critic,complex_000051,complex_000193,8,-7.1271
critic,complex_000051,complex_000193,9,-5.99002
critic,complex_000051,complex_000193,10,-7.79101
critic,complex_000051,complex_000193,11,-6.00962
critic,complex_000051,complex_000193,12,-5.61066
critic,complex_000051,complex_000193,13,-6.72516
critic,complex_000051,complex_000193,14,-6.79008
critic,complex_000051,complex_000193,15,-6.28522
critic,complex_000051,complex_000193,16,-5.03078
critic,complex_000051,complex_000193,17,-7.55328
critic,complex_000051,complex_000193,18,-8.51899
critic,complex_000051,complex_000193,19,-9.21812
critic,complex_000026,complex_000177,0,-7.16728
critic,complex_000026,complex_000177,1,-6.83191
critic,complex_000026,complex_000177,2,-7.64864
critic,complex_000026,complex_000177,3,-8.90996
critic,complex_000026,complex_000177,4,-8.4585
